epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.2856,1.10256,0.63975,1,1.04224,0.000411523,0.000411523,0.000411523
2,96.0271,0.97502,0.65839,1,1.01473,0.000800859,0.000800859,0.000800859
3,141.731,0.96352,0.6087,1,1.48234,0.0011627,0.0011627,0.0011627
4,185.917,1.00153,0.55901,1,1.04899,0.00112625,0.00112625,0.00112625
5,232.106,0.959,0.64596,1,0.95817,0.001085,0.001085,0.001085
6,276.689,0.95501,0.65839,1,0.77907,0.00104375,0.00104375,0.00104375
7,322.13,0.91064,0.6646,1,0.76902,0.0010025,0.0010025,0.0010025
8,366.815,0.90211,0.62733,1,1.00521,0.00096125,0.00096125,0.00096125
9,412.556,0.88605,0.67702,1,0.88281,0.00092,0.00092,0.00092
10,456.972,0.85816,0.65839,1,1.13151,0.00087875,0.00087875,0.00087875
11,502.48,0.8419,0.64596,1,0.7765,0.0008375,0.0008375,0.0008375
12,547.018,0.82962,0.63975,1,0.89754,0.00079625,0.00079625,0.00079625
13,592.484,0.82964,0.57764,1,0.96313,0.000755,0.000755,0.000755
14,636.705,0.80788,0.64596,1,0.87939,0.00071375,0.00071375,0.00071375
15,682.549,0.7839,0.63975,1,1.04419,0.0006725,0.0006725,0.0006725
16,726.634,0.77417,0.61491,1,1.04948,0.00063125,0.00063125,0.00063125
17,772.117,0.74062,0.68944,1,1.08927,0.00059,0.00059,0.00059
18,816.573,0.74212,0.67702,1,0.72319,0.00054875,0.00054875,0.00054875
19,862.379,0.71583,0.70186,1,0.84725,0.0005075,0.0005075,0.0005075
20,907.295,0.71066,0.68323,1,0.73891,0.00046625,0.00046625,0.00046625
21,956.676,0.69606,0.6646,1,0.73874,0.000425,0.000425,0.000425
22,1001.29,0.67871,0.67702,1,0.73037,0.00038375,0.00038375,0.00038375
23,1047.05,0.66091,0.68323,1,0.70898,0.0003425,0.0003425,0.0003425
24,1091.99,0.64664,0.69565,1,0.78642,0.00030125,0.00030125,0.00030125
25,1138.28,0.61089,0.70807,1,1.14168,0.00026,0.00026,0.00026
26,1183.64,0.61831,0.69565,1,0.80835,0.00021875,0.00021875,0.00021875
27,1229.51,0.59493,0.68323,1,1.29915,0.0001775,0.0001775,0.0001775
28,1275.1,0.58403,0.68944,1,0.93327,0.00013625,0.00013625,0.00013625
29,1321.05,0.5813,0.70807,1,1.19743,9.5e-05,9.5e-05,9.5e-05
30,1366.85,0.54875,0.70807,1,0.79818,5.375e-05,5.375e-05,5.375e-05
