epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.2094,1.10256,0.63975,1,1.04224,0.000411523,0.000411523,0.000411523
2,97.0308,0.97502,0.65839,1,1.01473,0.000800859,0.000800859,0.000800859
3,144.05,0.96352,0.6087,1,1.48234,0.0011627,0.0011627,0.0011627
4,189.241,1.00153,0.55901,1,1.04899,0.00112625,0.00112625,0.00112625
5,236.166,0.959,0.64596,1,0.95817,0.001085,0.001085,0.001085
6,282.74,0.95501,0.65839,1,0.77907,0.00104375,0.00104375,0.00104375
7,327.619,0.91064,0.6646,1,0.76902,0.0010025,0.0010025,0.0010025
8,375.544,0.90211,0.62733,1,1.00521,0.00096125,0.00096125,0.00096125
9,423.542,0.88605,0.67702,1,0.88281,0.00092,0.00092,0.00092
10,472.132,0.85816,0.65839,1,1.13151,0.00087875,0.00087875,0.00087875
11,520.023,0.8419,0.64596,1,0.7765,0.0008375,0.0008375,0.0008375
12,566.579,0.82962,0.63975,1,0.89754,0.00079625,0.00079625,0.00079625
13,613.429,0.82964,0.57764,1,0.96313,0.000755,0.000755,0.000755
14,659.981,0.80788,0.64596,1,0.87939,0.00071375,0.00071375,0.00071375
15,706.24,0.7839,0.63975,1,1.04419,0.0006725,0.0006725,0.0006725
16,752.444,0.77417,0.61491,1,1.04948,0.00063125,0.00063125,0.00063125
17,798.229,0.74062,0.68944,1,1.08927,0.00059,0.00059,0.00059
18,844.432,0.74212,0.67702,1,0.72319,0.00054875,0.00054875,0.00054875
19,889.936,0.71583,0.70186,1,0.84725,0.0005075,0.0005075,0.0005075
20,936.866,0.71066,0.68323,1,0.73891,0.00046625,0.00046625,0.00046625
21,985.696,0.69606,0.6646,1,0.73874,0.000425,0.000425,0.000425
22,1029.92,0.67871,0.67702,1,0.73037,0.00038375,0.00038375,0.00038375
23,1074.58,0.66091,0.68323,1,0.70898,0.0003425,0.0003425,0.0003425
24,1120.16,0.64664,0.69565,1,0.78642,0.00030125,0.00030125,0.00030125
25,1165.14,0.61089,0.70807,1,1.14168,0.00026,0.00026,0.00026
26,1210.89,0.61831,0.69565,1,0.80835,0.00021875,0.00021875,0.00021875
27,1255.68,0.59493,0.68323,1,1.29915,0.0001775,0.0001775,0.0001775
28,1301.81,0.58403,0.68944,1,0.93327,0.00013625,0.00013625,0.00013625
29,1347.66,0.5813,0.70807,1,1.19743,9.5e-05,9.5e-05,9.5e-05
30,1392.72,0.54875,0.70807,1,0.79818,5.375e-05,5.375e-05,5.375e-05
